date ,time,plot,meter start gal,meter stop gal,difference gal
130724,,13,137,155,18
130724,,14,160,177.5,17.5
130724,,22,181,203,22
130724,,21,207.5,225.5,18
130724,,16,228,248,20
130724,,15,252,273,21
130724,,23,276,296,20
130724,,24,297.5,318.5,21
130725,,23,325.5,345,19.5
130725,,24,348,366,18
130725,,13,381,400,19
130725,,14,405,424.5,19.5
130725,,15,433,453.5,20.5
130725,,16,457,477,20
130725,,21,484,504,20
130725,,22,508,529,21
130726,,13,535,552,17
130726,,14,555.5,573,17.5
130726,,21,582,599,17
130726,,22,603,621,18
130726,,15,623,641,18
130726,,16,644,663,19
130726,,23,665,685,20
130726,,24,688,708,20
130727,,23,715,733,18
130727,,24,737,756,19
130727,,13,760,780,20
130727,,14,779,799,20
130727,,21,804,824,20
130727,,22,827,848,21
130727,,15,851,871,20
130727,,16,873,893,20
130728,,15,910,926,16
130728,,16,929,943,14
130728,,13,949,965,16
130728,,14,967.5,979,11.5
130728,,23,983,1000,17
130728,,24,1002,1019,17
130728,,21,1021,1038,17
130728,,22,1039,1059,20
130729,,21,1069,1090,21
130729,,22,1095,1114,19
130729,,24,1131,1152,21
130729,,23,1108,1127,19
130729,,13,1157,1175,18
130729,,14,1178,1196,18
130729,,15,1200,1220,20
130729,,16,1223,1243,20
130731,,21,1425,1445.75,20.75
130802,,22,1401,1421,20
130802,,24,1354,1374.5,20.5
130802,,23,1377,1397.5,20.5
130802,,13,1320,1340.5,20.5
130802,,14,1237.5,1258,20.5
130802,,15,1260,1280,20
130802,,16,1282.5,1303,20.5
130802,,13,1443,1463,20
130802,,14,1466.5,1487,20.5
130802,,22,1540,1561,21
130802,,21,1565,1585.5,20.5
130802,,16,1492,1512,20
130802,,15,1514.5,1535,20.5
130802,,23,1605,1625,20
130802,,24,1580.5,1600,19.5
130803,957,23,1630,1650,20
130803,957,24,1652,1673,21
130803,957,14,1679,1699,20
130803,957,13,1701,1721,20
130803,957,15,1725,1745,20
130803,957,16,1747,1767,20
130803,957,22,1771,1791,20
130803,957,21,1794,1814,20
130804,1000,22,1818,1838,20
130804,1000,21,1840,1860,20
130804,1000,23,1867,1887,20
130804,1000,24,1890,1910,20
130804,1000,14,1915,1930,15
130804,1000,13,1932,1948,16
130804,1000,15,1954,1974,20
130804,1000,16,1977,1997,20
130805,1020,15,2014,2034,20
130805,1020,16,2036,2054,18
130805,1020,13,2064,2084,20
130805,1020,14,2089,2109,20
130805,1020,24,2107,2127,20
130805,1020,23,2131,2151,20
130805,1020,22,2165,2185,20
130805,1020,21,2187,2207,20
130809,,21,2202,2222,20
130809,,22,2235,2255,20
130809,,23,2250,2270,20
130809,,24,2214,2234,20
130809,,14,2309,2323,14
130809,,13,2325,2336,11
130809,,15,2331,2351,20
130809,,16,2353,2373,20
130810,1700,15,2398,2428,30
130810,1700,16,2429,2459,30
130810,1700,"23, 24",2476,2536,60
130810,1700,"13, 14",2538,2588,50
130810,1700,"21, 22",2592,2652,60
130811,1700,"13, 14",2655,2713,58
130811,1700,"21, 22",2714,2775,61
130811,1700,"15, 16",2775,2835,60
130811,1700,"23, 24",2836,2896,60
130812,1200,15,2907,2937,30
130812,1200,16,2938,2968,30
130812,1200,23,2969,2999,30
130812,1200,24,2990,3020,30
130812,1200,22,3029,3058,29
130812,1200,21,3050,3080,30
130812,1200,13,3080,3110,30
130812,1200,14,3111,3141,30
130812,1700,13,3142,3172,30
130812,1700,14,3172,3202,30
130812,1700,21,3202,3232,30
130812,1700,22,3232,3262,30
130812,1700,23,3264,3304,40
130812,1700,24,3304,3334,30
130812,1700,15,3334,3364,30
130812,1700,16,3365,3395,30
130813,1700,23,3395,3425,30
130813,1700,24,3426,3456,30
130813,1700,15,3457,3487,30
130813,1700,16,3488,3519,31
130813,1700,21,3522,3552,30
130813,1700,22,3552,3582,30
130813,1700,13,3583,3613,30
130813,1700,14,3614,3644,30
130814,1300,13,3645,3675,30
130814,1300,14,3676,3706,30
130814,1300,21,3707,3737,30
130814,1300,22,3738,3768,30
130814,1300,15,3768,3798,30
130814,1300,16,3799,3829,30
130814,1300,23,3830,3860,30
130814,1300,24,3861,3891,30
130815,1100,15,3896,3926,30
130815,1100,16,3926,3956,30
130815,1100,23,3959,3989,30
130815,1100,24,3989,4019,30
130815,1100,22,4022,4052,30
130815,1100,21,4052,4082,30
130815,1100,14,4083,4113,30
130815,1100,13,4113,4143,30
