date,start,stop,difference ,per awning 
2015-07-23,,36267,,
2015-07-24,36363,36976,613,102.1666666667
2015-07-28,36983,37680,697,116.1666666667
2015-08-01,37742,38407,665,110.8333333333
2015-08-02,38430,38949,519,86.5
2015-08-06,38996,39652,656,109.3333333333
2015-08-10,39893,40341,448,74.6666666667
2015-08-11,40369,40409,40,6.6666666667
2015-08-12,40922,40947,25,4.1666666667
2015-08-19,41242,42147,905,150.8333333333
2015-08-31,43435,44548,1113,185.5
2015-09-02,44562,45026,464,77.3333333333
2015-09-09,45058,45834,776,129.3333333333
2015-09-14,45897,46976,1079,179.8333333333
2015-09-17,46990,48849,1859,309.8333333333
